class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
pos,695994,?,?,?,?,?,0,0,0,55620,1190014,2406704,2654968,190640,6104,0,30746644,154572,402,?,248428,488246,64433246,53994294,20596998,10304200,?,0,185644,0,?,?,1769754,740312,476838,174168,133332,131930,181448,2539358,356910,0,7328,4408,7264,121698,5067472,1281252,14628,0,0,0,3262426,1210306,559028,414950,388106,362616,232360,73554,704,0,85291506,?,?,?,?,30746644,1026298,8748078,11823802,319980,347260,326760,342440,289980,277580,288080,265480,104560,695993.19,?,?,6608430,31203.0,?,?,456420,6504050,1209600,?,?,?,?,69538630.08,0,13983552,18944,?,0,0,74516,1113542,3627196,1523946,138200,23354,3282,14,?,?,?,?,6230,26952,809876,482260,2464090,2637700,76932,10,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.1,0,1073478,3141688,1397742,495544,361646,28610,5130,212,0,0,?,?
pos,1056758,0,42328,856,0,0,0,50394,184552,2116260,8359268,6371434,639894,51190,4638,0,39454610,431612,2782,?,4715344,7735174,78912322,72142386,39047734,10263578,6,0,0,0,34274,13358,0,0,0,0,0,0,268560,13072594,4436476,0,37508,16514,21030,32408,572048,15167946,1083288,846888,0,0,4941978,2295090,1757550,1255152,996850,823728,705760,692240,382398,3926884,122690152,28632,55552,69552,20,39454610,1238960,22612972,16403106,239060,245160,223840,243340,252460,174080,191660,286040,93040,1056757.35,122690152,122690152,37485530,158366,328218,?,347380,33755552,1209600,1509754,0,66,0,53167146.24,0,4672391.04,882,3704,82166,223794,798812,1843556,2970768,2409502,3005466,2641884,1821016,1980666,3138,72458,122690152,0,26206,3270,653530,633870,554164,12894082,2987228,25140,140,0,1526,3396,2320620,1217266,0,168,0,0,2849282,98634,18932,?,?,?,?,?,?,?,?,724196,351394,119428,134116954,17043728,1424784,257018,5243680,5958964,25101716,1144778,0,0,?,7445.3,7276,1415192,1779796,1450086,713608,1750894,4054554,4096660,2295880,220478,482,0,0
pos,361638,0,280,?,0,0,0,0,0,0,193768,1213998,611458,165512,39040,3452,14390070,1762456,122,0,640976,1300110,24676606,21110074,7930028,3690164,0,0,0,0,684,102,0,0,0,0,0,0,1666,1180176,1045386,0,1964,1154,1534,2378,6918,848604,1364674,2,0,0,1268010,298410,140476,85390,60496,47206,38348,39046,27744,222102,33250190,160,216,94,88,14390070,583524,2354852,5560794,264040,232480,220080,199000,227540,270520,232760,232200,104400,361637.81,33250190,33250190,2329782,10227.0,30300,15828,555820,2228198,1209600,0,?,?,?,21693175.68,1061023.68,9257094.72,32,252,0,0,4976,326792,882200,507828,258188,180400,54716,12128,?,0,33250190,0,2380,292,407708,398100,129078,829012,453812,6840,6,0,?,?,?,?,?,?,?,?,?,2592,146,0,0,11830,116338,0,0,0,0,352498,12146,3022,4536022,708268,76250,9704,2819000,450506,2326980,1932,0,0,0,655.5,718,751594,396816,266410,114746,180006,108294,111218,264410,33734,0,0,0
neg,99344,?,332,310,0,0,0,0,0,2604,241164,3033140,3017774,332560,1158,0,2743336,0,0,0,1128,1660,5726828,4751272,1176552,873742,0,0,0,0,322,96,0,0,0,0,0,913842,3048130,1092118,1574310,0,3612,740,1982,196416,4833194,1588930,3526,0,0,0,2283878,1602560,720422,490844,408096,496012,626464,124,0,0,6905566,0,740,1004,4,2743336,92486,702124,469722,163860,201620,223440,225860,233820,?,?,?,115000,99344.64,6905566,6905566,6920340,39393.0,262802,78452,844660,6628400,1209600,242474,2,92,0,5989533.12,0,634153.92,0,0,0,0,29610,734468,3006514,2322872,496132,29954,7910,940,1314,1350,6905566,?,9564,1370,202338,331944,321876,4771382,965560,24308,58,0,614,194,4671546,230816,0,330838,0,4,6045918,4386,394,0,0,0,0,0,0,0,0,53452,86598,46852,0,0,189526,34572,25817480,4038986,0,0,0,0,1087000,2686.2,2768,679324,1206070,1183362,627250,1231810,1022832,504914,123056,49782,0,0,0
pos,791254,?,?,?,?,?,0,14868,921256,9292232,17829808,16418686,5286406,370400,15482,0,16175962,12142,0,?,4115140,6289860,35402544,33278180,13792288,4396396,?,0,0,0,?,?,0,0,0,0,0,0,48206,32339732,17761200,0,291518,192100,156468,142506,38551590,10814792,162,2,0,0,10722776,13721260,8503616,5099010,3309960,2280026,2307222,3015564,738916,450788,53326088,?,?,?,?,16175962,570394,3965738,9803976,389780,335600,272280,241120,232480,246140,257300,293720,502860,791253.58,53326088,53326088,52153362,281154,?,?,1168940,50149138,1209600,?,?,?,?,41232372.48,0,8856571.2,?,?,7254,596600,7713378,6916904,11272358,14883860,7258736,1460916,38966,166,?,?,53326088,?,68136,11932,1957784,5499446,2049652,26852268,13372038,337520,362,0,8082,48246,35641650,16404972,692,106652,0,0,37971484,?,?,?,?,?,?,?,?,?,?,381376,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9385322,6823460,3625532,1380864,3262488,5727988,7563752,12114820,264714,198,?,?
neg,36390,4,104,96,222,296,0,0,0,1910,223732,1514684,454360,39672,208,0,1047638,0,46,0,12506,21506,2044070,1807700,430132,173454,0,0,0,0,596,1720,0,0,0,0,0,0,8782,828926,1396858,0,5566,4302,6128,8102,8898,2189912,9978,1680,0,0,854856,479684,232636,183962,116356,83630,68524,71484,66844,76590,2487648,262,274,3278,16,1047638,24942,228340,198870,203420,213980,?,?,?,?,?,?,3700,36389.04,2487648,2487648,2443958,12070,19766,766,58040,2236776,1209600,62646,2,86,0,1885744.32,61806.72,285368.64,58,694,0,6,69472,910604,966610,260608,21856,4480,918,12,648,698,2487648,0,5738,864,70758,189796,67818,1224558,654596,20322,114,2,86,3114,1886768,921910,0,18,0,0,1901528,2296,750,0,0,20,61836,0,0,0,0,15756,5830,3838,2695804,401032,44334,12170,2693920,343696,2338516,606,0,30,0,1743.58,1808,362742,299998,146460,81686,197074,187242,879292,75018,5054,0,0,54
neg,30,?,2130706432,28,0,0,0,0,0,0,66,6358,4488,284,0,0,3784,0,0,0,0,0,9508,5668,7360,2082,0,0,0,0,146,32,0,0,0,0,0,0,9826,0,1370,0,1520,10,20,12,482,9150,2,0,0,0,8802,1272,230,190,116,46,530,10,0,0,16894,0,2,0,0,3784,224,3086,4126,?,?,?,?,?,?,?,?,7160,30.16,16894,16894,19482,34,0,1550,16720,11196,1209600,668,2,2,0,4956.48,0,4741.44,0,12,0,0,0,4704,5882,588,22,0,0,0,0,56,16894,?,1484,16,36,396,592,2306,4828,1522,16,0,42,74,5786,60,0,14,0,28,5838,66,30,0,0,0,0,0,0,0,0,190,0,0,0,0,318,56,13480,1370,0,0,0,0,0,120.26,42,6656,3786,514,114,110,16,0,0,0,0,0,0
neg,28808,?,762,496,0,0,0,0,0,0,1584,85064,1207456,1043964,95644,16688,1249176,0,0,0,0,0,1972526,1534504,639830,364682,0,0,5502,0,4750,804,0,0,0,0,0,21304,1322616,1103942,2538,0,5586,1606,2020,3420,57036,2379552,1180,0,0,0,1134008,473964,196064,138576,108218,95584,128324,175578,84,0,2613072,130,478,192,14,1249176,46930,212010,423628,275100,302960,?,?,?,?,?,?,54260,28807.93,2613072,2613072,2594308,14319.0,123560,12482,186340,2450400,1209600,63926,0,84,0,1924463.04,0.96,515256.96,8,268,0,0,0,17752,345354,1273238,742082,65632,5894,448,62,186,2613072,?,7798,626,87982,202844,190920,1429044,508586,22188,412,0,1282,2698,961372,145174,0,29576,0,0,1956894,2372,380,0,0,0,0,0,0,0,0,30268,20366,3322,0,0,69468,9122,2429820,817488,0,0,0,0,0,1822.52,1556,538430,720668,260236,107670,216036,184596,184826,138556,98262,1120,0,0
neg,39988,?,416,394,0,0,0,0,0,0,526,86990,1592326,801016,31622,1956,1090816,0,0,0,0,0,2248646,1951808,426308,256164,0,0,1400,0,944,196,0,0,0,0,0,14482,647590,1721230,131134,0,5214,1868,3092,30788,1974030,499422,22,0,0,0,690580,669668,275432,196574,147662,114910,145888,273658,64,0,2675344,84,6,320,2,1090816,27942,260354,163022,194880,202940,?,?,?,?,?,?,23640,39987.52,2675344,2675344,2683272,18116,3822,22782,251480,2514436,1209600,68398,2,34,0,2294453.76,0,217076.16,0,0,0,0,0,6684,464132,1316848,689802,29640,6742,588,166,172,2675344,?,4500,442,47708,111006,100570,1921634,317298,11234,44,0,598,512,2216304,69634,0,20534,0,44,2305130,1500,88,0,0,0,0,0,0,0,0,16576,18524,4030,0,0,67168,10228,314340,48446,0,0,0,0,413540,841.2,974,229332,436186,379450,194018,502196,430440,167682,68052,95446,11634,0,0
pos,1053152,?,?,?,?,?,2,2,30,192,37434,4709942,43033510,20954334,500942,10284,16955528,51008,426786,1210968,0,0,37876920,32959188,8702712,3872498,?,0,0,0,?,?,0,0,0,0,7578,1895384,17395552,49516936,431222,0,138178,158238,339656,950550,44251148,23408610,288,2,0,2,24605944,12097250,6435996,5124066,4349994,4904758,7483726,4144662,100214,62,46584520,?,?,?,?,16955528,520360,4118420,4564742,285300,225260,233900,253880,261280,266640,213320,239900,155980,1053151.71,46584520,46584520,74903000,507469.0,?,15976,554120,69246672,1209600,?,?,?,?,60292992.96,0,8926228.8,98304,?,0,0,1930,701720,17052816,29824366,7595082,634144,165056,13271558,?,?,46584520,?,60410,11230,6420734,3411884,8109784,46938842,4197902,95830,56,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,271410,?,?,?,?,?,?,?,?,?,?,?,?,?,0.92,0,9211202,14118666,7093206,3379622,7362340,8442584,8120144,5082396,6259760,176752,?,?
neg,648,0,0,0,0,0,0,0,0,1498,39812,9350,1196,0,0,0,23662,0,240,0,2660,4498,52690,47062,33300,1430,0,0,0,0,4,0,0,0,0,0,0,0,4944,42596,4316,0,1648,62,68,76,248,37258,12176,320,0,0,27298,8988,5930,4546,3472,1584,38,0,0,0,88764,22,6,162,0,23662,644,27422,5830,?,?,?,?,?,?,?,?,32740,647.51,88764,88764,88916,175.0,88,8458,87780,51996,1209600,1158,2,8,0,34087.68,0,16554.24,0,52,0,0,14824,11666,20996,4220,134,16,0,0,16,60,88764,0,1636,60,38,2338,318,8810,35552,3082,22,0,0,0,36470,19648,0,78,0,0,38128,134,88,0,0,0,0,0,0,0,0,778,0,2,0,0,406,64,160,334,0,0,0,0,0,325.94,152,18550,6594,1598,720,1776,2350,6728,13450,90,0,0,0
neg,10,?,2,2,0,0,0,0,0,0,900,2632,864,0,0,0,1294,0,126,0,174,288,9578,8440,4618,120,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4396,0,910,2,10,10,58,3406,0,0,0,0,2886,678,96,184,90,122,68,266,6,0,14380,0,0,0,0,1294,78,3726,888,?,?,?,?,?,?,?,?,4520,9.15,14380,14380,20344,18,612,1382,14240,4396,1209600,184,0,0,0,1863.36,0,1650.24,?,?,0,0,282,3014,162,668,270,0,0,0,2,10,14380,?,904,2,22,6,712,890,1576,284,0,0,0,0,1382,102,0,14,0,0,2142,24,66,0,0,0,546,0,0,0,0,102,0,0,0,0,18,6,960,810,0,0,0,0,0,?,?,2672,1558,56,16,58,36,0,0,0,0,0,0
pos,785270,?,?,8994,?,?,0,0,0,0,0,0,0,0,0,0,21002694,0,12830,?,5792164,9139892,46717246,47327158,17820990,4131950,?,0,0,0,?,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70369780,?,?,?,?,21002694,770542,8160358,9621214,325140,263720,251340,272060,270480,236920,260920,344820,363580,785270.68,70369780,70369780,214,0,?,?,1132040,0,1209600,?,262,26,0,48720310.08,0,13328594.88,0,0,0,0,0,0,0,0,0,0,0,0,7396,?,70369780,?,0,0,0,0,0,0,0,0,0,0,13878,19794,43400160,14200558,4744,294412,0,0,45214496,?,?,?,?,?,?,?,?,?,?,398140,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0,?,?
neg,4622,?,2130706432,106,0,0,0,0,0,0,4700,120546,183726,5016,0,0,124774,0,0,0,0,0,297698,272660,40098,18658,0,0,0,0,166,60,0,0,0,0,0,8538,195034,76856,33560,0,1518,262,534,786,9718,301164,6,0,0,0,135690,107882,34286,15676,7570,4676,4392,3816,0,0,337870,10,16,18,2,124774,3220,25180,14816,?,?,?,?,?,?,?,?,39200,4621.29,337870,337870,342320,1207.0,152,33382,336840,313988,1209600,9704,2,14,0,272772.48,0,39705.6,2,76,0,0,0,44984,175972,86432,5152,1278,170,0,0,6,337870,?,1864,56,2636,26978,13254,129492,131876,7784,48,0,218,158,273406,3668,0,276,0,12,275858,274,62,0,0,0,18,0,0,0,0,1762,3670,1004,0,0,10828,2024,1157160,115888,0,0,0,0,0,184.94,198,44148,63752,43098,25026,43164,28864,22198,13582,27520,2636,0,0
neg,36896,?,0,?,0,0,0,0,0,0,2872,423780,1911344,333556,2798,0,1319646,0,0,?,0,0,2449800,2209050,441380,176690,0,0,0,0,0,0,0,0,0,0,0,99306,1347738,896224,331082,0,2646,1714,4296,2920,896858,1765912,4,0,0,0,1165558,434094,279152,195526,165604,268846,163634,1936,0,0,2891790,0,26,656,52,1319646,35488,275014,161886,159160,205880,0,0,0,0,0,0,69220,36895.96,2891790,2891790,?,14246,222714,?,464480,?,1209600,0,?,?,?,2391866.88,0,280040.64,?,?,0,0,0,98944,1075612,1344974,137014,13466,4002,338,?,0,2891790,?,2452,560,91090,126474,115080,2111212,217862,9602,18,0,?,?,?,?,?,?,?,?,?,2098,36,0,0,0,0,0,0,0,0,17968,39784,7840,0,0,112168,19720,6886060,813644,0,0,0,0,35895980,?,?,296606,585704,473936,281932,719952,315934,286,0,0,0,0,0
neg,81086,?,322,276,0,0,0,0,0,0,85426,2236216,2839278,291700,12254,200,2182576,0,0,0,918,2000,4445752,3434766,1279422,896462,0,0,0,0,288,56,0,0,0,0,0,194270,3944814,1325078,912,0,3708,448,1032,35208,3415856,2008406,416,0,0,0,1873096,1268966,439810,342694,282228,254650,384718,614906,4006,0,5727124,474,272,354,8,2182576,73974,686124,587716,273200,239200,228600,309900,?,?,?,?,217460,81085.07,5727124,5727124,5700016,36986,7592,79322,878020,5465074,1209600,199368,2,118,0,4896710.4,0,563872.32,0,0,0,0,3378,505414,2860664,1937354,132412,20964,4864,24,0,6,5727124,?,8584,1074,154766,226118,199298,3567766,1277838,29456,174,0,632,142,4603344,97588,0,138,0,12,4929454,3398,176,0,0,0,0,0,0,0,0,50442,87810,34686,0,0,153026,23088,19031180,2108894,0,0,0,0,1501420,2171.98,2286,599894,1163034,905626,480472,837106,603638,382642,223390,268236,1036,0,0
pos,912384,?,?,?,?,?,0,0,0,0,12410,3444142,46023314,16217464,522104,9322,25738014,25152,58,?,0,0,48265972,37880966,20583684,10167390,?,0,3108,0,?,?,0,0,0,0,0,3732294,28207790,33031304,1257368,0,181192,185874,771600,45584242,18835804,670044,0,0,0,0,14569932,15183546,5093226,4697956,4344838,4549974,5979774,11333846,475658,6,68855276,?,?,?,?,25738014,993618,8645906,11879130,397540,345240,315160,380820,346880,341660,404160,357020,315460,912384.2,68855276,68855276,68904822,526669.0,?,?,1010980,66228756,1209600,?,?,?,?,55478685.12,0,10707326.4,?,?,0,0,0,130734,11972804,38796712,13979888,1181270,150978,16370,?,?,68855276,?,74452,13146,5635620,5276366,30592078,23530886,1102126,4082,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,655456,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10887134,15039430,7958290,3800292,8566444,8613822,5996898,2777986,2539192,49268,?,?
